artist,artist_id
Current Blue,6wW4D3fGgRABc3cAotb0RS
Still Woozy,4iMO20EPodreIaEl8qW66y
MICHELLE,4yYvor6Rq4fG82J1L47DYp
Sofia D'Angelo,4dZ7XqXL0hD6rSIkUs11b5
Triathalon,2SaIA1enj83vEmJikZdjQ3
VICTOR!,6Ib0Di9b3kMxw9yD0DAyAC
Dayglow,6eJa3zG1QZLRB3xgRuyxbm
Wallows,0NIPkIjTV8mB795yEIiPYL
Clairo,3l0CmX0FuQjFxr8SK7Vqag
zack villere,5jLbQGcvxehi2Z6qkUP9Rh
Alex Siegel,65FPMBREZBLfEDpkHlm8sS
Men I Trust,3zmfs9cQwzJl575W1ZYXeT
Omar Apollo,5FxD8fkQZ6KcsSYupDVoSO
Family Reunion,3G062CaDBK5sJW89gVHEP4
Hala,1dTBAtLZBUB8Ir4PmJYw9t
SALES,6vVztIuqdDHvYWxOEXCzjN
Blood Cultures,1kDqy7SpqyJ7aZi7cqSBis
Monica Riskey,3JpHMpV3QOd4qrz7Jfkw7w
Vansire,6ft7JnxMyZhp7N52qzHymY
Sophie Meiers,4Qz5J3GBpmR1LcPgqFbzlW
Ivy Sole,59XmvE08Ar9UZIF6oVsd3J
Renwick,4szIa4PxWNlublLR3FFocn
LAUNDRY DAY,0SwK6bwzmGkViNoxSbJ5Mk
Pizzagirl,0ef7Q5r0NAMicEugmtYxjA
Nicotine's Famous Honey,111M3zZe92O4PHvKBl8nCT
Nicotine,0tpIaEojsimd2hK4Y3nZIX
Sam Plant,4yJhpF6wzsv1nH7ZUQDx1w
Bug Teeth,3b90Lpnlon3MrNSPo1a0VD
JORDANN,1qlafOeHOtRUZR4AOxlOkF
Orion Sun,2efrqekWSHlvhATD50AG3m
Banes World,5BCnLrqpwYtufR1bDWn0hG
Besphrenz,0VVJ5bIx1zXlBLi1GiP4yX
"Japan, Man",54MEW8n5kP8oN7qSvb72Nb
girl in red,3uwAm6vQy7kWPS2bciKWx9
FLOOR CRY,0oNT7doR0CV9mAXYDSk8Tx
Jakob Ogawa,4ub2v80S4RIceZRGnlhjTr
Crumb,4kSGbjWGxTchKpIxXPJv0B
Melanie Faye,4pcfFC9isxezJyTwbV1nIp
Mac DeMarco,3Sz7ZnJQBIHsXLUSo0OQtM
Morabeza Tobacco,0zce27eTR25aKpjQ7CvOA7
Katzu Oso,4tSzEOfCj6LXhaf0jtk4XO
Michael Seyer,7K4cef9h3NvU7Xb3BH7Ade
BOYO,1puLsaxX9EwudKrNBUVFe4
CASTLEBEAT,0k8UHfMqW86uvhmhHiYzj3
Sonia Gadhia,3bjxtDdZiByIKfHFEK96zB
The Marias,2sSGPbdZJkaSE2AbcGOACx
Billy Lemos,7ebBg3BuRFa2satTcY8whC
Stevan,24RDdXWdq95PlTMTpFTvC6
Stephan Looney,6ZdOiSlDCoDGvN0N4aQMx5
Temporex,3BBCgZVbXFRzcnT1ewVfRt
Postcard Boy,0PlXYPmSA81NdpOCHwkQB7
Hot Flash Heat Wave,33LSz2nhC8pCPTb3pd5add
Lounge FM,6hc0mVCpacCeXn2M8O8nj5
Billy Uomo,5sy7urwVs9FG9U82yvwmkY
Cavetown,2hR4h1Cao2ueuI7Cx9c7V8
Rejjie Snow,3lLHpTOJ11tWiUNGYN14gt
Black Pool,4lglBegCfNnjzAqs9DBQXm
Huron John,3CfbFUXY5EE7NmKE4n1Q3v
TheSecondSex,2TLvEQjCrq7LCZD3A7zUpi
No Vacation,32zeX1IoVKAGWMyy1isKUq
