event_name,event_id,event_start,event_end,event_capacity,listed,shareable,venue_id,venue_state,venue_city,minimum_price,maximum_price,sold_out_indicator,available_elsewhere
Da Baby @ Mohawk,56678924188,2019-05-01T00:00:00Z,2019-05-01T11:00:00Z,,True,False,18828404,TX,Austin,20.00,70.00,False,False
DaBaby at Republic NOLA,59925365381,2019-05-20T03:00:00Z,2019-05-20T07:00:00Z,,True,False,29250379,LA,New Orleans,40.00,150.00,False,False
Da baby at kandy bar,60836427392,2019-06-02T01:30:00Z,2019-06-02T05:30:00Z,,True,True,27151322,NC,Charlotte,30.00,60.00,False,False
Da Baby Live!!!!,60782633493,2019-05-31T00:00:00Z,2019-05-31T05:00:00Z,,True,True,31752790,AR,little rock,40.00,1400.00,False,False
#MMCTA  WITH DA BABY PERFORMING LIVE,60105198266,2019-04-28T02:00:00Z,2019-04-28T08:00:00Z,,True,False,31274396,SC,Marion ,15.00,600.00,False,False
"DaBaby LIVE in MORGANTOWN, WV!!!",60342458919,2019-05-16T01:00:00Z,2019-05-16T06:00:00Z,,True,True,30660146,WV,Morgantown,30.00,700.00,False,False
Grad Bash Featuring DaBaby,60825439527,2019-05-04T02:00:28Z,2019-05-04T07:00:28Z,,True,True,31750698,FL,Tampa,20.00,45.00,False,False
Da Baby Live in San Antonio,60754907564,2019-06-07T00:00:00Z,2019-06-07T05:00:00Z,,True,True,31691375,TX,San Antonio,35.00,60.00,False,False
"DaBaby's Official ""Baby on Baby"" After Party & Performance",60843816493,2019-05-13T02:00:00Z,2019-05-13T07:00:00Z,,True,False,31728190,NC,Smithfield,50.00,100.00,False,False
DaBaby / Wednesday May 1st / Spire,60944922905,2019-05-02T03:00:00Z,2019-05-02T07:00:00Z,,True,True,29480213,TX,Houston,20.00,20.00,False,False
DaBaby Performing Live 5.4.19 Baby On Baby tour TALLAHASSEE graduation Week,59669760861,2019-05-05T01:00:00Z,2019-05-05T07:00:00Z,,True,True,24296077,FL,Tallahassee,30.00,50.00,False,False
Baby soulja,60697063551,2019-05-19T02:00:00Z,2019-05-19T06:45:00Z,,True,False,31663972,GA,Savannah,20.00,40.00,False,False
DA BABY PERFORMING LIVE AT WHISKY RIVER! BLACK BIKEWEEK! ,59606044283,2019-05-26T02:00:00Z,2019-05-26T06:00:00Z,,True,True,31217459,SC,North Myrtle Beach,0.00,50.00,False,False
Da Baby! Memorial Day Weekend 2k19 at Babylon Miami!,60565728725,2019-05-27T00:00:11Z,2019-05-27T10:00:11Z,,True,True,27916322,FL,Miami,100.00,100.00,False,False
"DaBaby w/ Prime Society, Stunna 4 Vegas, Blacc Zacc  ",60799921201,2019-06-09T02:00:00Z,2019-06-09T05:30:00Z,,True,True,31708807,AZ,Phoenix,25.00,25.00,False,False
The Baby On Baby After Party  Performing Live,60731638967,2019-04-29T02:00:00Z,2019-04-29T06:00:00Z,,True,True,31769857,VA,Richmond,20.00,40.00,False,False
Baby Shark - O Musical,59357363472,2019-05-05T20:00:00Z,2019-05-05T23:00:00Z,,True,True,31118876,ES,Goiabeiras,70.00,115.00,False,False
DA BABY PERFORMING LIVE IN CONCERT SUNDAY MAY 26TH @ BABYLON MIAMI MEMORIAL DAY WKND,60800954291,2019-05-27T00:00:00Z,2019-05-27T10:00:00Z,,True,True,31660515,FL,Miami,100.00,100.00,False,False
 Baby Shower Party Maggio 2019,56112414743,2019-05-25T07:30:00Z,2019-05-25T11:30:00Z,,True,True,17469076,Lombardia,Milano,0.00,0.00,False,False
::: Organização Da Ação Do Dia Das Crianças Na Empresa,38074394539,2017-09-20T12:00:00Z,2019-09-21T02:30:00Z,,True,True,21239777,SP,Barueri,2170.00,2170.00,True,False
Wavy Vibez 90's baby Party,48771044507,2018-08-19T00:00:00Z,2019-08-19T05:00:00Z,,True,True,26049515,LA,New Orleans,0.00,25.00,True,False
Brunch Baby NYC - CINCO DE MAYO,60835183672,2019-05-05T15:00:00Z,2019-05-05T16:30:00Z,,True,True,31725447,NY,New York,0.00,0.00,False,False
Baby Girl - The Ladies of Hip Hop and R&B,60843857616,2019-06-01T04:00:00Z,2019-06-01T09:00:00Z,,True,True,29801968,CA,Los Angeles,0.00,0.00,False,False
MuKiFit Baby Massage / 5er Kurs für Familien mit Baby,59158009198,2019-05-06T14:00:00Z,2019-05-06T15:00:00Z,,True,True,27972222,BW,Rheinau,60.25,82.01,False,False
BabyGirl [An R&B thang] : *2 YEAR ANNIVERSARY!*,59667628483,2019-04-27T02:00:00Z,2019-04-27T07:00:00Z,,True,True,25627490,DC,Washington,0.00,15.00,True,False
Desconto! Baby Shark Live Musical no Teatro Santo Agostinho (Liberdade),60645077058,2019-05-01T19:00:00Z,2019-05-01T19:50:00Z,,True,True,30987901,SP,São Paulo,29.90,29.90,False,False
Lançamento do Livro - O Poder da Umbanda - Rodrigo Queiroz,60152229939,2019-05-04T22:00:00Z,2019-05-05T01:00:00Z,,True,True,31599996,SP,Taboão da Serra,40.00,40.00,False,False
We Want Da Smoke Atl vs FL Breast Cancer Awareness,60427511313,2019-04-21T23:00:00Z,2019-10-12T02:00:00Z,,True,True,31556167,GA,College Park,20.00,275.00,False,False
Bore Da i'r Teulu | Good Morning Family Yoga,52954618690,2019-04-27T09:00:00Z,2019-04-27T10:00:00Z,,True,True,26895036,Wales,Swansea,1.50,4.00,False,False
"DEU Happy Hypno Birthing - ""Das Glück"" (Hypnobirthingeinheit auf Deutsch)",56295433156,2019-04-30T16:30:00Z,2019-04-30T19:00:00Z,,True,True,19081261,Berlin,Berlin,11.71,11.71,False,False
Certificação para pais e profissionais da saúde em Fortaleza,59246857947,2019-07-31T11:30:00Z,2019-08-01T21:00:00Z,,True,True,31070617,Ceará,Fortaleza,560.00,590.00,False,False
Certificação para pais e profissionais da saúde em Campinas,55043824561,2019-04-29T11:30:00Z,2019-04-30T21:00:00Z,,True,True,29897401,SP,Campinas,600.00,600.00,True,False
Certificação para pais e profissionais da saúde em Campinas (Julho),59721372232,2019-07-20T11:30:00Z,2019-07-21T21:00:00Z,,True,True,29897401,SP,Campinas,600.00,650.00,False,False
"Feriado com DESCONTO! ""Baby Doo Doo Doo Shark, uma viagem musical"" no Teatro Ruth Escobar",60417631763,2019-05-01T17:30:00Z,2019-05-01T18:30:00Z,,True,True,31550762,SP,São Paulo,29.90,29.90,False,False
"Desconto na Zona Leste! ""Baby Doo Doo Doo Shark, uma viagem musical"" no Teatro Omni Corinthians",60419386010,2019-05-01T20:00:00Z,2019-05-01T21:00:00Z,,True,True,31552436,SP,São Paulo,24.90,24.90,False,False
"50% de DESCONTO! ""BABY DOO DOO DOO SHARK, UMA VIAGEM MUSICAL"" no Teatro BTC",59088573514,2019-04-27T19:30:00Z,2019-04-27T20:20:00Z,,True,True,24874848,SP,São Paulo,29.90,29.90,True,False
"KURS-ANGEBOT: Fitness-Workout ""Mama fit - Baby mit!"" dienstags 10.15 Uhr",58555193159,2019-04-30T08:15:00Z,2019-07-09T09:00:00Z,,True,True,31392960,,Mönchengladbach,84.59,84.59,False,False
"KURS-ANGEBOT: Fitness-Workout ""Mama fit - Baby mit!"" dienstags 11.00 Uhr",60154652184,2019-04-30T08:15:00Z,2019-07-09T09:00:00Z,,True,True,31392960,,Mönchengladbach,84.59,84.59,False,False
Desconto! Baby Shark Live Musical no Teatro Caritas(Zona Leste de SP),58806299224,2019-04-27T19:00:00Z,2019-04-27T19:50:00Z,,True,True,30854493,SP,São Paulo,29.90,29.90,True,False
Netzwerkfrühstück- Back to Business,60544596518,2019-05-15T08:00:00Z,2019-05-15T10:00:00Z,,True,False,31607646,Berlin,Berlin,15.00,15.00,False,False
Babymassagekurs,56441009579,2019-03-07T08:00:00Z,2020-02-27T09:30:00Z,,True,True,29590106,Niederösterreich,Amstetten,55.00,55.00,False,False
106 & JAMZ • SEASON 2,60033510847,2019-04-28T02:00:00Z,2019-04-28T06:00:00Z,,True,True,31396969,FL,Tallahassee,0.00,20.00,False,False
FUNCTION - A RAP PARTY - Knockout SF,60739997969,2019-04-27T05:00:00Z,2019-04-27T09:00:00Z,,True,True,24994186,CA,San Francisco,0.00,10.00,False,False
BauchBuggyGo,56483281014,2019-04-29T08:00:00Z,2019-04-29T09:00:00Z,,True,True,29611023,HE,Leun,0.00,0.00,False,False
Patrick Salmen,60757084074,2020-01-24T19:00:00Z,2020-01-24T22:00:00Z,,True,True,30356290,,Hannover,18.24,18.24,False,False
FIRE MARSHALL FRIDAY ,60684504988,2019-04-27T01:00:00Z,2019-04-27T06:00:00Z,,True,True,31280010,GA,Decatur,0.00,0.00,False,False
Quadrophenia Night ,60553184204,2019-11-29T19:00:00Z,2019-11-29T22:00:00Z,,True,True,27867150,Scotland,Aberdeen,16.58,19.78,False,False
