name,ID,venue,city,state,date_UTC,lowest_price,highest_price,capacity,sold_out_indicator,shareable,available_elsewhere
b'Alpaca Yoga with Flexy Michelle!',60835991087,313 Farms,Anola,Manitoba,2019-05-28T23:30:00Z,20.00,20.00,,False,True,False
b'Integrative Energy Healing with Michelle Buss',53751751937,OM Toronto,Toronto,ON,2019-06-29T13:00:00Z,75.00,160.00,,False,True,False
b'Salsa private lessons with Abraham and Michelle',60248610215,LA Dance Center,Los Angeles,CA,2019-04-23T18:00:00Z,70.00,240.00,,False,True,False
b'Michelle Hemmings fundraising and awareness event',60847363101,Parklands Banqueting Suite,Birmingham,West Midlands,2019-09-06T17:00:00Z,20.00,400.00,,False,False,False
b'Michelle Kasaboski: Making The Artist Series SHOW #1',60067732204,Fête Events,Kingston,ON,2019-05-11T23:30:00Z,15.00,25.00,,False,True,False
b'Lightworker Academy with Michelle Hawk: Emotional Alchemy',60472116729,,,,2019-05-14T17:00:00Z,0.00,0.00,,False,True,False
b'Art Class with Michelle Cordova Acrylic Landscape',56823228807,University Art,Sacramento,CA,2019-07-08T22:00:00Z,35.00,35.00,,False,True,False
b'Art Class with Michelle Cordova Collage/Mixed Media',57283726167,University Art,Sacramento,CA,2019-09-09T22:00:00Z,35.00,35.00,,False,True,False
b'Art Class with Michelle Cordova Open Studio',56825363191,University Art,Sacramento,CA,2019-08-12T22:00:00Z,35.00,35.00,,False,True,False
b'Art Class with Michelle Cordova Watercolor Pumpkins',57284058160,University Art,Sacramento,CA,2019-10-14T22:00:00Z,35.00,35.00,,False,True,False
b'Michelle Kasaboski: Making The Artist Series SHOW #2',60075676967,Fête Events,Kingston,ON,2019-08-10T23:30:00Z,15.00,25.00,,False,True,False
b'Michelle Kasaboski: Making The Artist Series SHOW #3',60076637841,Fête Events,Kingston,ON,2019-10-26T23:30:00Z,15.00,25.00,,False,True,False
b'Paint Flowers like Van Gogh with Michelle Reid',60903717659,The tett Centre for Creativity & Learning,Kingston,ontario,2019-05-12T17:00:31Z,75.00,75.00,,False,True,False
b'Michelle Live in Show Episode 4 With Special Guest Brooke Wilkerson',60972605705,The Venue,Peterborough,ON,2019-06-09T17:00:00Z,40.00,60.00,,False,False,False
b'Mini Winter Warmer Yoga Retreat with Michelle Freeman Yoga',60911489906,Kondalilla Eco Resort,Flaxton,QLD,2019-07-12T23:00:00Z,125.00,125.00,,False,True,False
b'Art Class with Michelle Cordova / Acrylic Still Life 1',55179867469,University Art,Sacramento,CA,2019-05-13T22:00:00Z,35.00,35.00,,False,True,False
b'Art Class with Michelle Cordova / Acrylic Still Life 2',55180246603,University Art,Sacramento,CA,2019-06-10T22:00:00Z,35.00,35.00,,False,True,False
