Playlist Name,Genre
Bedroom Pop,Pop
Today's Top Hits,Pop
Power Gaming,Rap
POLLEN,Indie
Chilled R&B,R&B
Femme Fatale,Pop
Viral Latino,Latin
Down In The Dumps,R&B
Are & Be,R&B
RapCaviar,Rap
Get Turnt,Rap
Most Necessary,Rap
New Music Friday,Pop
Mega Hit Mix,Pop
Hit Rewind,Pop
Pop Rising,Pop
Hot Rhythmic,Pop
All New Indie,Indie
Ultimate Indie,Indie
Late Night Vibes,Indie
Feel-Good Indie Rock,Indie
Hot Country,Country
New Boots,Country
Wild Country,Country
Chillin' on a Dirt Road,Country
Country Gold,Country
Country Kind of Love,Country
mint,Electronic
Dance Rising,Electronic
Electronic Rising,Electronic
Dance Party,Electronic
Dance Pop,Electronic
Roots Rising,Folk
Infinite Acoustic,Folk
Fresh Folk,Folk
Folk Pop,Folk
The Pulse of Americana,Folk
Roots Revival,Folk
Swagger,Folk
Modern Eclectic,Folk
Chill as Folk,Folk
Happy Folk,Folk
Lush + Atmospheric,Folk
Your Favorite Coffeehouse,Folk
New Music Friday Christian,Christian
Christian Mix,Christian
Top Christian,Christian
WorshipNow,Christian
Spirit,Christian
New & Bold,Christian
Kickass Metal,Metal
New Metal Tracks,Metal
New Core,Metal
In the Name of the Blues,Blues
Nu-Blue,Blues
Women of the Blues,Blues
Blues & Roots Rock,Blues
Blues Classics,Blues
Blues Roots,Blues
Pop 4 Kids,Kids
Lullaby Baby,Kids
This Is Disney,Kids
Sing Along,Kids
The Laugh List,Comedy
Comedy Top Tracks,Comedy
Women of Comedy,Comedy
Office Offensive,Comedy
Reggae Classics,Reggae
Dancehall Official,Reggae
One Love,Reggae
Reggae Infusions,Reggae
