attraction_name,venue,city,event_date,sale_start_date,lowest_face_val_price
DaBaby,Lincoln Theatre-NC,Raleigh,2019-05-12,1900-01-01T18:00:00Z,
DaBaby,The Fillmore Charlotte presented by Cricket Wireless,Charlotte,2019-06-01,2019-04-03T16:19:00Z,
DaBaby,Center Stage Theater,Atlanta,2019-05-31,2019-03-26T16:00:00Z,
DaBaby,Cervantes,Denver,2019-04-17,1900-01-01T18:00:00Z,
DaBaby,The Shelter,Detroit,2019-04-09,2019-02-22T15:00:00Z,20.0
DaBaby,S.O.B.'s,New York,2019-04-07,1900-01-01T18:00:00Z,
DaBaby,The Ritz,Raleigh,2019-05-12,2019-04-05T16:00:00Z,
DABABY: Baby On Baby Tour,The Fillmore Silver Spring presented by Cricket Wireless,Silver Spring,2019-04-05,2019-02-22T15:00:00Z,20.0
DaBaby - Baby on Baby Tour,The Intersection,Grand Rapids,2019-04-10,2019-03-18T18:31:00Z,
DaBaby - Baby on Baby Tour,Intersection - The Stache,Grand Rapids,2019-04-10,2019-03-18T18:31:00Z,
