Position,Track Name,Artist,Streams,URL
1,bad guy,Billie Eilish,6073130,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
2,Con Calma,Daddy Yankee,3799197,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m
3,wish you were gay,Billie Eilish,3789318,https://open.spotify.com/track/3Fj47GNK2kUF0uaEDgXLaD
4,7 rings,Ariana Grande,3609662,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
5,bury a friend,Billie Eilish,3542256,https://open.spotify.com/track/4SSnFejRGlZikf02HLewEF
6,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,3071411,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
7,Sucker,Jonas Brothers,3046742,https://open.spotify.com/track/4y3OI86AEP6PQoDE6olYhO
8,when the party's over,Billie Eilish,2930917,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
9,Old Town Road,Lil Nas X,2910060,https://open.spotify.com/track/53CJANUxooaqGOtdsBTh7O
10,all the good girls go to hell,Billie Eilish,2721897,https://open.spotify.com/track/6IRdLKIyS4p7XNiP8r6rsx
11,Wow.,Post Malone,2685527,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP
12,Shallow,Lady Gaga,2654516,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
13,xanny,Billie Eilish,2628692,https://open.spotify.com/track/4QIo4oxwzzafcBWkKjDpXY
14,you should see me in a crown,Billie Eilish,2497370,https://open.spotify.com/track/3XF5xLJHOQQRbWya6hBp7d
15,"break up with your girlfriend, i'm bored",Ariana Grande,2467407,https://open.spotify.com/track/4kV4N9D1iKVxx1KLvtTpjS
16,my strange addiction,Billie Eilish,2403322,https://open.spotify.com/track/3Tc57t9l2O8FwQZtQOvPXK
17,Calma - Remix,Pedro Capó,2233366,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4
18,Happier,Marshmello,2076342,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
19,i love you,Billie Eilish,2072221,https://open.spotify.com/track/6CcJMwBtXByIz4zQLzFkKc
20,Don't Call Me Up,Mabel,2072151,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8
21,Sweet but Psycho,Ava Max,2066402,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
22,Dancing With A Stranger (with Normani),Sam Smith,2052053,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
23,Baila Baila Baila,Ozuna,2032391,https://open.spotify.com/track/7uH27oIt4a6cIFCA8ZPcyG
24,ilomilo,Billie Eilish,2001058,https://open.spotify.com/track/7qEKqBCD2vE5vIBsrUitpD
25,Secreto,Anuel Aa,1961572,https://open.spotify.com/track/5W83ErFkO3aKAIS1WMi6u0
26,HP,Maluma,1940680,https://open.spotify.com/track/31UjYv5vLsDkzchJOtUMtW
27,Pa Mí - Remix,Dalex,1925626,https://open.spotify.com/track/224EVTFiLsdQignUFLvDeH
28,Without Me,Halsey,1889208,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
29,MIDDLE CHILD,J. Cole,1881862,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
30,listen before i go,Billie Eilish,1878116,https://open.spotify.com/track/0tMSssfxAL2oV8Vri0mFHE
31,"thank u, next",Ariana Grande,1832840,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ
32,Here With Me,Marshmello,1774581,https://open.spotify.com/track/5icOoE6VgqFKohjWWNp0Ac
33,i'm so tired...,Lauv,1772773,https://open.spotify.com/track/7COXchtUOMd6uIT6HvmRaI
